Basico,Astronomía,¿Cuál es el planeta más cercano al Sol?,Mercurio,Venus,Tierra,Marte,Mercurio
Intermedio,Astronomía,¿Cuántas lunas tiene la Tierra?,1,2,3,4,1
Avanzado,Astronomía,¿Cuál es el nombre del telescopio espacial lanzado por la NASA en 1990?,Hubble,Chandra,Spitzer,Kepler,Hubble
Basico,Astronomía,¿Cuántos planetas hay en nuestro sistema solar?,7,8,9,10,8
Intermedio,Astronomía,¿Qué fenómeno astronómico ocurre cuando la Luna bloquea completamente la luz solar?,Eclipse solar,Luna llena,Cometa,Meteorito,Eclipse solar
Avanzado,Astronomía,¿Cuál es la estrella más cercana a la Tierra (aparte del Sol)?,Alfa Centauri,Betelgeuse,Sirio,Próxima Centauri,Próxima Centauri
Basico,Astronomía,¿Cuál es el nombre de la galaxia en la que se encuentra nuestro sistema solar?,Vía Láctea,Andrómeda,Canis Major,Trífida,Vía Láctea
Intermedio,Astronomía,¿Cuál es la distancia promedio entre la Tierra y el Sol?,100 millones de km,150 millones de km,200 millones de km,300 millones de km,150 millones de km
Avanzado,Astronomía,¿Qué famoso científico propuso la teoría heliocéntrica?,Galileo Galilei,Isaac Newton,Nicolas Copérnico,Johannes Kepler,Nicolas Copérnico
Basico,Astronomía,¿Cuál es el nombre de la primera mujer astronauta?,Valentina Tereshkova,Sally Ride,Yuri Gagarin,Neil Armstrong,Valentina Tereshkova
Intermedio,Astronomía,¿Qué es un agujero negro?,Una estrella moribunda,Un objeto muy denso con gravedad extrema,Un planeta sin luz solar,Un cometa en colisión,Un objeto muy denso con gravedad extrema
Avanzado,Astronomía,¿Cuál es el periodo orbital de Marte alrededor del Sol?,687 días,365 días,1 año luz,90 días,687 días
Basico,Astronomía,¿Cuál es la constelación que contiene la estrella más brillante, Sirio?,Orión,Leo,Escorpio,Canis Major,Orión
Intermedio,Astronomía,¿Cuál es el objeto más lejano explorado por una sonda de la NASA?,Voyager 1,Plutón,New Horizons,Mariner 9,Voyager 1
Avanzado,Astronomía,¿Cuál es el nombre de la misión espacial que llevó al hombre a la Luna por primera vez?,Apollo 11,SpaceX,Mercury-Redstone 3,ISS,Apollo 11
Basico,Astronomía,¿Qué es un meteorito?,Un fragmento de un cometa,Una roca espacial que llega a la Tierra,Un planeta en movimiento,Una explosión solar,Una roca espacial que llega a la Tierra
Intermedio,Astronomía,¿Cuál es el nombre de la galaxia más cercana a la Vía Láctea?,Andrómeda,Canis Major,Magallanes,Orion,Andrómeda
Avanzado,Astronomía,¿Cuántas lunas tiene el planeta Saturno?,82,53,27,13,82
Basico,Astronomía,¿Cuál es el nombre de la nave espacial que llevó a los primeros humanos a la Luna en 1969?,Apollo 11,Sputnik 1,Vostok 1,Mercury-Redstone 3,Apollo 11
Intermedio,Astronomía,¿Cuál es el nombre de la nebulosa más famosa visible desde la Tierra?,Nebulosa de Orión,Nebulosa del Cangrejo,Nebulosa del Águila,Nebulosa de la Laguna,Nebulosa de Orión
Avanzado,Astronomía,¿Cuál es el nombre de la sonda espacial que aterrizó en Marte en 2012 para buscar signos de vida?,Curiosity,Spirit,Opportunity,InSight,Curiosity
Basico,Astronomía,¿Cuántos satélites naturales tiene Marte?,2,1,0,3,2
Intermedio,Astronomía,¿Cuál es el nombre de la estrella más brillante en el cielo nocturno?,Sirio,Procyon,Canopus,Rigel,Sirio
Avanzado,Astronomía,¿Cuál es la velocidad de la luz en el vacío?,299,792,458 metros por segundo,300,000,000 metros por segundo,150,000,000 metros por segundo,299,792,458 metros por segundo
Basico,Astronomía,¿Cuál es el nombre de la primera sonda espacial en llegar a Marte?,Mariner 4,Viking 1,Phoenix,Pathfinder,Mariner 4
Intermedio,Astronomía,¿Cuál es el nombre de la misión espacial de la ESA que aterrizó en un cometa en 2014?,Rosetta,Cassini,New Horizons,Churyumov-Gerasimenko,Rosetta
Avanzado,Astronomía,¿Cuál es la edad aproximada del universo?,13.8 mil millones de años,10 mil millones de años,20 mil millones de años,5 mil millones de años,13.8 mil millones de años
